mean,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49
1.001101999999999919e+02,9.971999999999999886e+01,1.004500000000000028e+02,1.001200000000000045e+02,9.986500000000000909e+01,9.990999999999999659e+01,1.005550000000000068e+02,9.957999999999999829e+01,1.000150000000000006e+02,1.006949999999999932e+02,1.005999999999999943e+02,1.002450000000000045e+02,1.002950000000000017e+02,1.000149999999999864e+02,1.000000000000000000e+02,9.977500000000000568e+01,9.956999999999999318e+01,9.985999999999999943e+01,1.008650000000000091e+02,1.004449999999999932e+02,1.002700000000000102e+02,1.006099999999999994e+02,1.001700000000000017e+02,1.000200000000000102e+02,1.001700000000000017e+02,1.004950000000000045e+02,9.996999999999999886e+01,9.936500000000000909e+01,1.007800000000000011e+02,9.985999999999999943e+01,9.987999999999999545e+01,1.002750000000000057e+02,1.001150000000000091e+02,1.006800000000000068e+02,1.002899999999999920e+02,1.005049999999999955e+02,9.964000000000000057e+01,9.977500000000000568e+01,1.007049999999999983e+02,9.988500000000000512e+01,1.002700000000000102e+02,9.973000000000000398e+01,9.943500000000000227e+01,9.999500000000000455e+01,9.982500000000000284e+01,1.001500000000000057e+02,1.000649999999999977e+02,1.005349999999999966e+02,9.983500000000000796e+01,9.967000000000000171e+01,9.996000000000000796e+01
1.001778000000000048e+02,9.920000000000000284e+01,1.006349999999999909e+02,1.000499999999999972e+02,1.001449999999999960e+02,1.003950000000000102e+02,1.003950000000000102e+02,1.001299999999999955e+02,9.990999999999999659e+01,1.005550000000000068e+02,1.003700000000000045e+02,1.001700000000000017e+02,1.001299999999999955e+02,1.002800000000000011e+02,1.002849999999999966e+02,9.967000000000000171e+01,9.981999999999999318e+01,1.003949999999999960e+02,1.007599999999999909e+02,1.008400000000000034e+02,1.007050000000000125e+02,1.009000000000000057e+02,1.003100000000000023e+02,1.000000000000000000e+02,1.006700000000000017e+02,1.004200000000000017e+02,9.940500000000000114e+01,9.913500000000000512e+01,1.006250000000000000e+02,1.009300000000000068e+02,1.001099999999999994e+02,1.004499999999999886e+02,1.000349999999999966e+02,1.009849999999999994e+02,1.001400000000000006e+02,1.006850000000000023e+02,9.946999999999999886e+01,9.956999999999999318e+01,1.009699999999999989e+02,1.000499999999999972e+02,1.003950000000000102e+02,1.005949999999999989e+02,9.869999999999998863e+01,1.001700000000000017e+02,9.950000000000000000e+01,1.002400000000000091e+02,1.005199999999999960e+02,1.003100000000000023e+02,9.974500000000000455e+01,9.987999999999999545e+01,9.913499999999999091e+01
1.001634999999999849e+02,9.925499999999999545e+01,1.007849999999999966e+02,9.967500000000001137e+01,1.000999999999999943e+02,1.004399999999999977e+02,1.002800000000000011e+02,9.978999999999999204e+01,9.993999999999999773e+01,1.008449999999999989e+02,1.003449999999999989e+02,1.007049999999999983e+02,1.001750000000000114e+02,1.001299999999999955e+02,1.002549999999999955e+02,9.946999999999999886e+01,1.000049999999999955e+02,1.005900000000000034e+02,1.001399999999999864e+02,1.008849999999999909e+02,1.005149999999999864e+02,1.009950000000000045e+02,1.013299999999999983e+02,1.001899999999999977e+02,1.006349999999999909e+02,1.000699999999999932e+02,9.928000000000000114e+01,9.903000000000000114e+01,1.004050000000000011e+02,1.007400000000000091e+02,9.981000000000000227e+01,1.004000000000000057e+02,9.950999999999999091e+01,1.010000000000000000e+02,1.000699999999999932e+02,1.005750000000000028e+02,9.970499999999999829e+01,9.971000000000000796e+01,1.008799999999999955e+02,1.004650000000000034e+02,1.004500000000000028e+02,1.004249999999999972e+02,9.856999999999999318e+01,9.995000000000000284e+01,9.948499999999999943e+01,1.002950000000000017e+02,1.002299999999999898e+02,1.005749999999999886e+02,9.971500000000000341e+01,1.003700000000000045e+02,9.898499999999999943e+01
1.002528000000000219e+02,9.946999999999999886e+01,1.012049999999999983e+02,9.876500000000000057e+01,9.981999999999999318e+01,1.005449999999999875e+02,1.004950000000000045e+02,9.970499999999999829e+01,1.000100000000000051e+02,1.009899999999999949e+02,1.006049999999999898e+02,1.005550000000000068e+02,9.987999999999999545e+01,1.010000000000000000e+02,1.003250000000000028e+02,9.976500000000000057e+01,1.000649999999999977e+02,1.005850000000000080e+02,1.000049999999999955e+02,1.007500000000000000e+02,1.008650000000000091e+02,1.008649999999999949e+02,1.010300000000000011e+02,1.002849999999999966e+02,1.006250000000000000e+02,1.002349999999999994e+02,9.940999999999999659e+01,9.940999999999999659e+01,1.004000000000000057e+02,1.004650000000000034e+02,9.947999999999998977e+01,1.003849999999999909e+02,9.971000000000000796e+01,1.011949999999999932e+02,1.007049999999999983e+02,1.010199999999999960e+02,9.962000000000000455e+01,1.001099999999999994e+02,1.010499999999999972e+02,1.006999999999999886e+02,1.005850000000000080e+02,1.009499999999999886e+02,9.868999999999999773e+01,9.974500000000000455e+01,9.914500000000001023e+01,1.003599999999999994e+02,1.005399999999999920e+02,1.008400000000000034e+02,1.001700000000000017e+02,1.003900000000000006e+02,9.912000000000000455e+01
1.002176000000000187e+02,9.921999999999999886e+01,1.014749999999999943e+02,9.859000000000000341e+01,9.974500000000000455e+01,1.006749999999999972e+02,1.009950000000000045e+02,9.951500000000000057e+01,9.969499999999999318e+01,1.009149999999999920e+02,1.004499999999999886e+02,9.998499999999999943e+01,9.996999999999999886e+01,1.005250000000000057e+02,1.003299999999999983e+02,9.950499999999999545e+01,1.006349999999999909e+02,1.011349999999999909e+02,9.959000000000000341e+01,1.007700000000000102e+02,1.012349999999999994e+02,1.007599999999999909e+02,1.007150000000000034e+02,1.007100000000000080e+02,1.007400000000000091e+02,1.000200000000000102e+02,9.953000000000000114e+01,9.913500000000000512e+01,1.002849999999999966e+02,1.002999999999999972e+02,9.918000000000000682e+01,1.008350000000000080e+02,9.967000000000000171e+01,1.011250000000000000e+02,1.007949999999999875e+02,1.008650000000000091e+02,9.943000000000000682e+01,1.002349999999999994e+02,1.005349999999999966e+02,1.009899999999999949e+02,1.004399999999999977e+02,1.012150000000000034e+02,9.858500000000000796e+01,9.946500000000000341e+01,9.912000000000000455e+01,1.007999999999999972e+02,9.982500000000000284e+01,1.007999999999999972e+02,9.971999999999999886e+01,1.008949999999999960e+02,9.920499999999999829e+01
1.001288999999999731e+02,9.909999999999999432e+01,1.015550000000000068e+02,9.846500000000000341e+01,9.957500000000000284e+01,1.007549999999999955e+02,1.008249999999999886e+02,9.897499999999999432e+01,9.993000000000000682e+01,1.006500000000000057e+02,1.008400000000000034e+02,9.960999999999999943e+01,9.960500000000000398e+01,1.004399999999999977e+02,1.001949999999999932e+02,9.910999999999999943e+01,1.006049999999999898e+02,1.011049999999999898e+02,9.964499999999999602e+01,1.005949999999999989e+02,1.010849999999999937e+02,1.001850000000000023e+02,1.010349999999999966e+02,1.006400000000000006e+02,1.005900000000000034e+02,9.957999999999999829e+01,9.970000000000000284e+01,9.907999999999999829e+01,9.994999999999998863e+01,1.004099999999999966e+02,9.868000000000000682e+01,1.006899999999999977e+02,9.976999999999999602e+01,1.009300000000000068e+02,1.007899999999999920e+02,1.010450000000000017e+02,9.859999999999999432e+01,9.957499999999998863e+01,1.006599999999999966e+02,1.002600000000000051e+02,1.012150000000000034e+02,1.010799999999999983e+02,9.860999999999999943e+01,9.937500000000000000e+01,9.919999999999998863e+01,1.010500000000000114e+02,9.984000000000000341e+01,1.014050000000000011e+02,9.965500000000000114e+01,1.008950000000000102e+02,9.928499999999999659e+01
1.001813000000000216e+02,9.916499999999999204e+01,1.018000000000000114e+02,9.837500000000000000e+01,9.958500000000000796e+01,1.008299999999999983e+02,1.008149999999999977e+02,9.872499999999999432e+01,1.002199999999999989e+02,1.002199999999999989e+02,1.008550000000000040e+02,9.966999999999998749e+01,9.977500000000000568e+01,1.000999999999999943e+02,1.006049999999999898e+02,9.958499999999999375e+01,1.004000000000000057e+02,1.011449999999999960e+02,9.980500000000000682e+01,1.009699999999999989e+02,1.007949999999999875e+02,1.001500000000000057e+02,1.008549999999999898e+02,9.998500000000001364e+01,1.000900000000000034e+02,9.998999999999999488e+01,1.002299999999999898e+02,9.943000000000000682e+01,9.972499999999999432e+01,1.004800000000000040e+02,9.911500000000000909e+01,1.010449999999999875e+02,9.962999999999999545e+01,1.010500000000000114e+02,1.010699999999999932e+02,1.012049999999999983e+02,9.871999999999999886e+01,9.936499999999999488e+01,1.004800000000000040e+02,1.003299999999999983e+02,1.007849999999999966e+02,1.012849999999999966e+02,9.886500000000000909e+01,9.984499999999999886e+01,9.953499999999999659e+01,1.012950000000000017e+02,9.968500000000000227e+01,1.013599999999999994e+02,9.953499999999999659e+01,1.012199999999999989e+02,9.927000000000001023e+01
1.001795000000000044e+02,9.949000000000000909e+01,1.022700000000000102e+02,9.862500000000000000e+01,9.965000000000000568e+01,1.009699999999999989e+02,9.982499999999998863e+01,9.898499999999999943e+01,1.004149999999999920e+02,9.993999999999999773e+01,1.004200000000000017e+02,9.954000000000000625e+01,9.896999999999999886e+01,1.007400000000000091e+02,1.013000000000000114e+02,9.956000000000000227e+01,1.000449999999999875e+02,1.019499999999999886e+02,1.000749999999999886e+02,1.004399999999999977e+02,1.007300000000000040e+02,1.015099999999999909e+02,1.013400000000000034e+02,9.979000000000000625e+01,1.000600000000000023e+02,9.950999999999999091e+01,9.980500000000000682e+01,9.962000000000000455e+01,1.000550000000000068e+02,1.005649999999999977e+02,9.868999999999999773e+01,1.008350000000000080e+02,9.954999999999999716e+01,1.007100000000000080e+02,1.008299999999999983e+02,1.011099999999999994e+02,9.844499999999999318e+01,1.002199999999999989e+02,1.006500000000000057e+02,1.001299999999999955e+02,1.010349999999999966e+02,1.014350000000000023e+02,9.864499999999999602e+01,9.939500000000001023e+01,9.903499999999999659e+01,1.014099999999999966e+02,9.973499999999999943e+01,1.009699999999999989e+02,9.910999999999999943e+01,1.017100000000000080e+02,9.912999999999999545e+01
1.001743000000000023e+02,9.978000000000000114e+01,1.023849999999999909e+02,9.906999999999999318e+01,9.927000000000001023e+01,1.014399999999999977e+02,9.973000000000000398e+01,9.826500000000000057e+01,9.996000000000000796e+01,9.965500000000000114e+01,1.005000000000000000e+02,9.957499999999998863e+01,9.840500000000000114e+01,1.005799999999999983e+02,1.009800000000000040e+02,9.950999999999999091e+01,9.987999999999999545e+01,1.018949999999999960e+02,1.001200000000000045e+02,1.003400000000000034e+02,1.001200000000000045e+02,1.020900000000000034e+02,1.013799999999999955e+02,1.001050000000000040e+02,9.978000000000000114e+01,9.920499999999999829e+01,9.982999999999999829e+01,9.967000000000000171e+01,1.000199999999999960e+02,1.004600000000000080e+02,9.856999999999999318e+01,1.012500000000000000e+02,9.938500000000000512e+01,1.011250000000000000e+02,1.015949999999999989e+02,1.011650000000000063e+02,9.856499999999999773e+01,1.002700000000000102e+02,1.004000000000000057e+02,1.004050000000000011e+02,1.010000000000000000e+02,1.013149999999999977e+02,9.835999999999999943e+01,9.997499999999999432e+01,9.939000000000000057e+01,1.016250000000000000e+02,9.959999999999999432e+01,1.010349999999999966e+02,9.932999999999999829e+01,1.010300000000000011e+02,9.932500000000000284e+01
1.002986000000000075e+02,1.003449999999999989e+02,1.026800000000000068e+02,9.933000000000001251e+01,9.968500000000000227e+01,1.020750000000000028e+02,1.001750000000000114e+02,9.791499999999999204e+01,9.968999999999999773e+01,9.989000000000000057e+01,1.005999999999999943e+02,9.971500000000000341e+01,9.834999999999999432e+01,1.011450000000000102e+02,1.007249999999999943e+02,9.979499999999998749e+01,9.968500000000000227e+01,1.019850000000000136e+02,9.999500000000000455e+01,1.007899999999999920e+02,1.006800000000000068e+02,1.020399999999999920e+02,1.012800000000000011e+02,1.002950000000000017e+02,9.979499999999998749e+01,9.921000000000000796e+01,1.002399999999999949e+02,9.940500000000000114e+01,1.004650000000000034e+02,1.004549999999999983e+02,9.876000000000000512e+01,1.010799999999999983e+02,9.964499999999999602e+01,1.011800000000000068e+02,1.023849999999999909e+02,1.012249999999999943e+02,9.818500000000000227e+01,1.004399999999999977e+02,1.004200000000000017e+02,1.005999999999999943e+02,1.006500000000000057e+02,1.013849999999999909e+02,9.803000000000000114e+01,9.984000000000000341e+01,9.922999999999998977e+01,1.021800000000000068e+02,9.964000000000000057e+01,1.010399999999999920e+02,9.992000000000000171e+01,1.009600000000000080e+02,9.970000000000000284e+01
1.003158999999999850e+02,1.007650000000000006e+02,1.037949999999999875e+02,9.944999999999998863e+01,9.995000000000000284e+01,1.015850000000000080e+02,1.008400000000000034e+02,9.718000000000000682e+01,9.973500000000001364e+01,1.001349999999999909e+02,1.002599999999999909e+02,1.002150000000000034e+02,9.857499999999998863e+01,1.007199999999999989e+02,1.004650000000000034e+02,9.930500000000000682e+01,9.937999999999999545e+01,1.019950000000000045e+02,9.962000000000000455e+01,1.005999999999999943e+02,1.006099999999999994e+02,1.018650000000000091e+02,1.013400000000000034e+02,1.003050000000000068e+02,1.001050000000000040e+02,9.912999999999999545e+01,1.006349999999999909e+02,9.945499999999999829e+01,1.003900000000000006e+02,1.010399999999999920e+02,9.889499999999999602e+01,1.011649999999999920e+02,9.978499999999999659e+01,1.014200000000000017e+02,1.025399999999999920e+02,1.010699999999999932e+02,9.826999999999999602e+01,1.003850000000000051e+02,9.983500000000000796e+01,1.005600000000000023e+02,1.004650000000000034e+02,1.012750000000000057e+02,9.798000000000000398e+01,1.001700000000000017e+02,9.937500000000000000e+01,1.028400000000000034e+02,9.974000000000000909e+01,1.001149999999999949e+02,9.981999999999999318e+01,1.011700000000000017e+02,9.947499999999999432e+01
1.003739999999999952e+02,1.008650000000000091e+02,1.043349999999999937e+02,9.909499999999999886e+01,9.951500000000000057e+01,1.019749999999999943e+02,1.006299999999999955e+02,9.737999999999999545e+01,1.003300000000000125e+02,9.987000000000000455e+01,1.003400000000000034e+02,1.002199999999999989e+02,9.838499999999999091e+01,1.005399999999999920e+02,1.006599999999999966e+02,9.912999999999999545e+01,9.932499999999998863e+01,1.022150000000000034e+02,9.903499999999999659e+01,1.007750000000000057e+02,1.005000000000000000e+02,1.019800000000000040e+02,1.016649999999999920e+02,1.003400000000000034e+02,9.987500000000000000e+01,9.908500000000000796e+01,1.012450000000000045e+02,9.940500000000000114e+01,1.001500000000000057e+02,1.014499999999999886e+02,9.881499999999999773e+01,1.014950000000000045e+02,9.943999999999999773e+01,1.018850000000000051e+02,1.033300000000000125e+02,1.011200000000000045e+02,9.860500000000000398e+01,1.005900000000000034e+02,1.003549999999999898e+02,1.006550000000000011e+02,1.001449999999999960e+02,1.007800000000000011e+02,9.810999999999999943e+01,9.985500000000000398e+01,9.942000000000000171e+01,1.025799999999999983e+02,1.000500000000000114e+02,1.000749999999999886e+02,1.000749999999999886e+02,1.012150000000000034e+02,9.978999999999999204e+01
1.003641999999999967e+02,1.005699999999999932e+02,1.038700000000000045e+02,9.927500000000000568e+01,9.935999999999999943e+01,1.020399999999999920e+02,1.007199999999999989e+02,9.755500000000000682e+01,1.007249999999999943e+02,1.004500000000000028e+02,1.002899999999999920e+02,9.985499999999998977e+01,9.855500000000000682e+01,1.001200000000000045e+02,1.007450000000000045e+02,9.926999999999999602e+01,9.943500000000000227e+01,1.020649999999999977e+02,9.907999999999999829e+01,1.008499999999999943e+02,1.007800000000000011e+02,1.017100000000000080e+02,1.022049999999999983e+02,1.009849999999999994e+02,9.988499999999999091e+01,9.879500000000000171e+01,1.012399999999999949e+02,9.968999999999999773e+01,1.007600000000000051e+02,1.008100000000000023e+02,9.806999999999999318e+01,1.017049999999999983e+02,9.956499999999999773e+01,1.017500000000000000e+02,1.029749999999999943e+02,1.006250000000000000e+02,9.865999999999999659e+01,1.005400000000000063e+02,1.000349999999999966e+02,1.005199999999999960e+02,1.003499999999999943e+02,1.007500000000000000e+02,9.818500000000000227e+01,9.989000000000000057e+01,9.937000000000000455e+01,1.031450000000000102e+02,9.986000000000001364e+01,9.968500000000000227e+01,1.002700000000000102e+02,1.010649999999999977e+02,9.950499999999999545e+01
1.004545000000000243e+02,1.005850000000000080e+02,1.039300000000000068e+02,9.981999999999999318e+01,1.002950000000000017e+02,1.026949999999999932e+02,1.002199999999999989e+02,9.787999999999999545e+01,1.008849999999999909e+02,1.004300000000000068e+02,1.002049999999999983e+02,1.002199999999999989e+02,9.848000000000000398e+01,1.000550000000000068e+02,1.006350000000000051e+02,9.890999999999999659e+01,9.931000000000000227e+01,1.024600000000000080e+02,9.889500000000001023e+01,1.010349999999999966e+02,1.010400000000000063e+02,1.019849999999999994e+02,1.025399999999999920e+02,1.007999999999999972e+02,1.003549999999999898e+02,9.879999999999999716e+01,1.016299999999999955e+02,9.968999999999999773e+01,1.005649999999999977e+02,1.015499999999999972e+02,9.812999999999999545e+01,1.015250000000000057e+02,9.933500000000000796e+01,1.019249999999999972e+02,1.026299999999999955e+02,1.005000000000000000e+02,9.825499999999999545e+01,1.009099999999999966e+02,9.964000000000000057e+01,1.007099999999999937e+02,1.009650000000000034e+02,1.005150000000000006e+02,9.792000000000000171e+01,1.003199999999999932e+02,9.928000000000000114e+01,1.030600000000000023e+02,1.004399999999999977e+02,9.915000000000000568e+01,1.006649999999999920e+02,1.015150000000000006e+02,9.943500000000000227e+01
